customer_id,country,lifetime_value,total_orders,first_order_date,last_order_date
C14096,United Kingdom,28532583.089981213,34,2011-08-30,2011-12-05
C14646,Netherlands,17996178.769999906,77,2010-12-20,2011-12-08
C12415,Australia,10281927.140000012,26,2011-01-06,2011-11-15
C14911,EIRE,5333883.699999976,248,2010-12-01,2011-12-08
C14298,United Kingdom,4463278.529999997,45,2010-12-14,2011-12-06
C14088,United Kingdom,4279313.14999999,14,2011-01-21,2011-11-29
C13081,United Kingdom,4274268.399999822,21,2010-12-03,2011-12-08
C14156,EIRE,3957908.2700000303,66,2010-12-02,2011-11-30
C17511,United Kingdom,3598414.399999993,46,2010-12-01,2011-12-07
C17841,United Kingdom,3427659.200000159,169,2010-12-01,2011-12-08
C14769,United Kingdom,2969733.740000036,10,2010-12-17,2011-12-07
C18102,United Kingdom,2317829.269999993,62,2010-12-07,2011-12-09
C15311,United Kingdom,2157179.6199999894,118,2010-12-01,2011-12-09
C17450,United Kingdom,1941972.5999999994,55,2010-12-07,2011-12-01
C13089,United Kingdom,1901584.0099999898,118,2010-12-05,2011-12-07
C12748,United Kingdom,1534507.510000023,224,2010-12-01,2011-12-09
C16684,United Kingdom,1417055.5600000015,31,2010-12-16,2011-12-05
C12536,France,1106543.099999967,5,2011-10-11,2011-12-02
C13694,United Kingdom,1064306.2000000027,60,2010-12-01,2011-12-06
C16984,United Kingdom,1056197.440000053,5,2011-08-01,2011-09-22
C12433,Norway,940098.299999994,7,2010-12-01,2011-12-09
C14049,United Kingdom,916124.0399999965,6,2011-01-26,2011-11-23
C17107,United Kingdom,907925.1899999818,7,2011-03-06,2011-11-07
C17340,United Kingdom,895126.4399999892,16,2010-12-08,2011-11-30
C15159,United Kingdom,878543.4999999941,34,2010-12-13,2011-12-08
C12378,Switzerland,877887.7799999972,1,2011-08-02,2011-08-02
C12753,Japan,845399.3100000015,11,2010-12-12,2011-12-06
C12688,Israel,833421.5100000266,1,2011-08-18,2011-08-18
C12451,Switzerland,817891.3099999994,6,2011-01-19,2011-11-29
C12357,Switzerland,813204.7699999732,1,2011-11-06,2011-11-06
C15039,United Kingdom,791055.2100000031,52,2010-12-06,2011-11-30
C12477,Germany,790297.720000005,9,2011-02-01,2011-11-17
C15061,United Kingdom,787714.4199999998,55,2010-12-02,2011-12-06
C13098,United Kingdom,732910.7599999997,41,2011-01-26,2011-12-08
C17338,United Kingdom,728661.029999998,10,2010-12-13,2011-11-22
C12678,France,722784.1799999966,13,2010-12-21,2011-10-28
C16033,United Kingdom,705536.8999999916,27,2010-12-05,2011-12-04
C17139,United Kingdom,694719.4999999927,15,2011-02-24,2011-11-24
C15786,United Kingdom,687990.660000002,5,2011-08-17,2011-10-27
C17404,Sweden,675045.8600000002,18,2010-12-14,2011-12-05
C14505,United Kingdom,650554.5999999994,11,2010-12-12,2011-11-22
C12931,United Kingdom,640664.8300000002,20,2010-12-17,2011-11-18
C12590,Germany,626381.6599999954,3,2011-05-12,2011-06-02
C14895,United Kingdom,624523.2200000002,24,2011-01-21,2011-12-02
C12409,Switzerland,611106.7500000047,7,2011-06-10,2011-09-22
C15838,United Kingdom,607383.68,21,2010-12-02,2011-11-28
C14159,United Kingdom,594626.0599999629,14,2010-12-12,2011-11-20
C17675,United Kingdom,587329.970000003,41,2010-12-07,2011-12-08
C17602,United Kingdom,559579.6499999949,8,2011-01-19,2011-12-07
C12744,Singapore,553321.7199999964,10,2011-01-25,2011-10-19
C14796,United Kingdom,552691.3399999881,27,2010-12-08,2011-12-08
C14936,Channel Islands,531299.6999999878,9,2011-03-09,2011-11-30
C12731,France,524230.66000000073,14,2010-12-10,2011-11-16
C17706,United Kingdom,522132.59000000084,22,2010-12-08,2011-12-05
C12567,France,516063.02000000374,11,2010-12-05,2011-11-17
C14680,United Kingdom,511309.94,23,2010-12-03,2011-11-14
C12359,Cyprus,509643.4899999921,6,2011-01-12,2011-12-02
C17735,United Kingdom,509454.0600000018,19,2010-12-07,2011-12-07
C16549,United Kingdom,506629.9300000011,10,2011-01-09,2011-11-29
C14286,United Kingdom,497273.1099999978,5,2011-04-11,2011-11-16
C15640,United Kingdom,492140.93999999785,17,2010-12-02,2011-12-05
C14056,United Kingdom,484483.0299999964,29,2011-02-28,2011-12-08
C17389,United Kingdom,483513.54999999946,43,2011-01-04,2011-12-09
C12428,Finland,478292.6599999889,12,2011-03-01,2011-11-14
C12471,Germany,476696.78000000044,49,2010-12-02,2011-12-07
C15382,United Kingdom,469825.59000000113,8,2011-02-17,2011-11-25
C12681,France,452749.45999999996,27,2010-12-07,2011-11-25
