product_id,product_name,total_quantity_sold,total_revenue,orders_count
DOT,DOTCOM POSTAGE,5097,5235330.090000003,16
22423,REGENCY CAKESTAND 3 TIER,305109,3637991.080000022,1884
85123A,WHITE HANGING HEART T-LIGHT HOLDER,737950,2055659.9199999664,2020
85099B,JUMBO BAG RED RETROSPOT,945183,1783688.8800000614,1643
POST,POSTAGE,81350,1783227.1400000001,1194
47566,PARTY BUNTING,381567,1780835.2899999984,1399
23084,RABBIT NIGHT LIGHT,661463,1531187.9600000104,816
84879,ASSORTED COLOUR BIRD ORNAMENT,895379,1452153.709999996,1385
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,424616,1386187.3599999808,990
23298,SPOTTY BUNTING,259396,1210599.6999999916,1021
22960,JAM MAKING SET WITH JARS,273274,1148927.8000000026,965
22629,SPACEBOY LUNCH BOX ,624947,1095114.0299999923,712
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,405231,1090450.809999994,612
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,218835,1081826.2699999863,1218
23203,JUMBO BAG VINTAGE DOILY ,557655,1079332.4000000334,1097
20725,LUNCH BAG RED RETROSPOT,633930,1031084.1400000068,1330
22630,DOLLY GIRL LUNCH BOX,561868,988779.71999999,625
23245,SET OF 3 REGENCY CAKE TINS,207284,985426.1200000026,755
22139,RETROSPOT TEA SET CERAMIC 11 PC ,176922,977251.899999995,839
79321,CHILLI LIGHTS,173566,920932.199999999,525
22138,BAKING SET 9 PIECE RETROSPOT ,161649,897885.2699999941,881
22197,POPCORN HOLDER,1040037,882502.2600000004,1085
22178,VICTORIAN GLASS HANGING T-LIGHT,550280,875554.9999999978,839
23284,DOORMAT KEEP CALM AND COME IN,107624,852055.7000000005,655
22457,NATURAL SLATE HEART CHALKBOARD ,260136,842465.3999999997,984
22386,JUMBO BAG PINK POLKADOT,442988,835007.7000000197,884
23209,LUNCH BAG VINTAGE DOILY ,500382,793875.340000003,1017
